id,name,tel,address,hospital_type,postal_code,area_code,created_at,updated_at
22,โรงพยาบาลส่งเสริมสุขภาพตำบลไกรนอก,055657281,จ.สุโขทัย อ.กงไกรลาศ ต.ไกรนอก หมู่ 5,โรงพยาบาลส่งเสริมสุขภาพตำบล,64170,64040305,2017-03-01 07:41:48.661399,2017-03-01 07:41:48.661399
23,สหแพทย์หลังสวนโพลีคลินิก,0 2252 3001-4 ,จ.กรุงเทพมหานคร อ.เขตปทุมวัน ต.ลุมพินี หมู่ 0,คลินิกเอกชน,10330,10070400,2017-03-01 07:41:48.667161,2017-03-01 07:41:48.667161
24,โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล สมุทรสาคร,03482670929034826706,จ.สมุทรสาคร อ.เมืองสมุทรสาคร ต.ท่าทราย หมู่ 7,โรงพยาบาลเอกชน,74000,74011007,2017-03-01 07:41:48.672323,2017-03-01 07:41:48.672323
25,ศูนย์บริการสาธารณสุข 1 เทศบาลนคร,073244095,จ.ยะลา อ.เมืองยะลา ต.สะเตง หมู่ 0,ศูนย์บริการสาธารณสุข,95000,95010100,2017-03-01 07:41:48.676234,2017-03-01 07:41:48.676234
26,ศูนย์บริการสุขภาพเทศบาลตำบลหนองป่าครั่ง,053117787,จ.เชียงใหม่ อ.เมืองเชียงใหม่ ต.หนองป่าครั่ง หมู่ 2,ศูนย์บริการสาธารณสุข,50000,50011302,2017-03-01 07:41:48.679796,2017-03-01 07:41:48.679796
27,รักษ์สุขคลินิกเวชกรรม (สาขาคลอง 6),0290426367,จ.ปทุมธานี อ.คลองหลวง ต.คลองหก หมู่ 1,คลินิกเอกชน,12120,13020601,2017-03-01 07:41:48.685295,2017-03-01 07:41:48.685295
28,โรงพยาบาลคลองใหญ่,039-581116,จ.ตราด อ.คลองใหญ่ ต.คลองใหญ่ หมู่ 9,โรงพยาบาลชุมชน,23110,23020109,2017-03-01 07:41:48.692468,2017-03-01 07:41:48.692468
29,มิตรไมตรีคลินิกเวชกรรม(เคหะนนทบุรี),029641375,จ.นนทบุรี อ.ปากเกร็ด ต.ปากเกร็ด หมู่ 5,คลินิกเอกชน,11120,12060105,2017-03-01 07:41:48.697196,2017-03-01 07:41:48.697196
30,คลินิกทันตกรรมสุขภาพฟัน,0 2986 3028  ,จ.กรุงเทพมหานคร อ.เขตสายไหม ต.สายไหม หมู่ 0,คลินิกเอกชน,10220,10420100,2017-03-01 07:41:48.702605,2017-03-01 07:41:48.702605
31,สุขุมวิท 24 คลินิกเวชกรรมเฉพาะทางจักษุ,022618213-5,จ.กรุงเทพมหานคร อ.เขตคลองเตย ต.คลองตัน หมู่ 0,คลินิกเอกชน,10110,10330200,2017-03-01 07:41:48.707122,2017-03-01 07:41:48.707122
32,คลินิกหมอชำนาญคลินิกเวชกรรม,0891912126,จ.ลำพูน อ.บ้านโฮ่ง ต.บ้านโฮ่ง หมู่ 2,คลินิกเอกชน,51130,51030102,2017-03-01 07:41:48.710856,2017-03-01 07:41:48.710856
33,คลินิกหมอพีระศักดิ์เวชกรรมเฉพาะทางเวชศาสตร์ครอบครัว,05352144,จ.ลำพูน อ.ป่าซาง ต.ปากบ่อง หมู่ 1,คลินิกเอกชน,51120,51060101,2017-03-01 07:41:48.71497,2017-03-01 07:41:48.71497
34,คลินิกแพทย์วนิดา,0815401815,จ.สงขลา อ.เมืองสงขลา ต.พะวง หมู่ 0,คลินิกเอกชน,90100,90010400,2017-03-01 07:41:48.721937,2017-03-01 07:41:48.721937
35,รวมแพทย์คลินิกเวชกรรม,074337154,จ.สงขลา อ.เมืองสงขลา ต.เขารูปช้าง หมู่ 4,คลินิกเอกชน,9000,90010204,2017-03-01 07:41:48.725799,2017-03-01 07:41:48.725799
36,คลินิกแพทย์สุมิตร์,074481029,จ.สงขลา อ.สิงหนคร ต.สทิงหม้อ หมู่ 6,คลินิกเอกชน,90280,90150206,2017-03-01 07:41:48.730109,2017-03-01 07:41:48.730109
37,ศูนย์สุขภาพชุมชนตำบลมาย่อ,0864917253,จ.ปัตตานี อ.มายอ ต.มายอ หมู่ 1,ศูนย์สุขภาพชุมชน ของ รพ.,94140,94050101,2017-03-01 07:41:48.734457,2017-03-01 07:41:48.734457
38,โรงพยาบาลสกลนคร,042711636,จ.สกลนคร อ.เมืองสกลนคร ต.ธาตุเชิงชุม หมู่ 0,โรงพยาบาลทั่วไป,47000,47010100,2017-03-01 07:41:48.74069,2017-03-01 07:41:48.74069
39,โรงพยาบาลกุสุมาลย์,042769041,จ.สกลนคร อ.กุสุมาลย์ ต.นาโพธิ์ หมู่ 11,โรงพยาบาลชุมชน,47210,47020211,2017-03-01 07:41:48.74539,2017-03-01 07:41:48.74539
40,โรงพยาบาลพระอาจารย์แบน  ธนากโร,0422708123,จ.สกลนคร อ.ภูพาน ต.โคกภู หมู่ 0,โรงพยาบาลชุมชน,47180,47180300,2017-03-01 07:41:48.751405,2017-03-01 07:41:48.751405
41,โรงพยาบาลพร้าว,"",จ.เชียงใหม่ อ.พร้าว ต.เวียง หมู่ 4,โรงพยาบาลชุมชน,50190,50110104,2017-03-01 07:41:48.758823,2017-03-01 07:41:48.758823
42,โรงพยาบาลเกาะยาวชัยพัฒน์,076597119,จ.พังงา อ.เกาะยาว ต.เกาะยาวน้อย หมู่ 2,โรงพยาบาลชุมชน,82160,82020102,2017-03-01 07:41:48.765199,2017-03-01 07:41:48.765199
43,โรงพยาบาลไชยา,077431466,จ.สุราษฎร์ธานี อ.ไชยา ต.ตลาดไชยา หมู่ 1,โรงพยาบาลชุมชน,84110,84060101,2017-03-01 07:41:48.769725,2017-03-01 07:41:48.769725
44,โรงพยาบาลสิเกา,"",จ.ตรัง อ.สิเกา ต.บ่อหิน หมู่ 6,โรงพยาบาลชุมชน,92150,92050106,2017-03-01 07:41:48.775723,2017-03-01 07:41:48.775723
45,คลินิกเวชกรรมเฉพาะทางไตเทียมตรัยเวชชก์,024442479,จ.กรุงเทพมหานคร อ.เขตหนองแขม ต.หนองค้างพลู หมู่ 12,คลินิกเอกชน,10160,10230312,2017-03-01 07:41:48.779579,2017-03-01 07:41:48.779579
46,คลินิกนครหริภุญชัยเวชกรรมเฉพาะทาง สาขาจัตเวชศาสตร์,053510973,จ.ลำพูน อ.เมืองลำพูน ต.ในเมือง หมู่ 0,คลินิกเอกชน,51000,51010100,2017-03-01 07:41:48.785231,2017-03-01 07:41:48.785231
47,คลินิกเวชกรรมเฉพาะทางจักษุหมอสุวัฒน์,042511947  0815744648,จ.นครพนม อ.เมืองนครพนม ต.ในเมือง หมู่ 0,คลินิกเอกชน,48000,48010100,2017-03-01 07:41:48.793773,2017-03-01 07:41:48.793773
48,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกุง,042511410,จ.นครพนม อ.นาแก ต.หนองสังข์ หมู่ 5,โรงพยาบาลส่งเสริมสุขภาพตำบล,48130,48070305,2017-03-01 07:41:48.800098,2017-03-01 07:41:48.800098
49,ศูนย์แพทย์ชุมชนตำบลบ้านบึง,038446441,จ.ชลบุรี อ.บ้านบึง ต.บ้านบึง หมู่ 0,ศูนย์สุขภาพชุมชน ของ รพ.,20170,20020100,2017-03-01 07:41:48.804377,2017-03-01 07:41:48.804377
50,โรงพยาบาลเชียงรายประชานุเคราะห์,053-711300,จ.เชียงราย อ.เมืองเชียงราย ต.เวียง หมู่ 0,โรงพยาบาลศูนย์,57000,57010100,2017-03-01 07:41:48.812605,2017-03-01 07:41:48.812605
51,ศูนย์บริการสาธารณสุขเทศบาลตำบลนาวง,075264751,จ.ตรัง อ.ห้วยยอด ต.วังคีรี หมู่ 5,ศูนย์บริการสาธารณสุข,92210,92062105,2017-03-01 07:41:48.819241,2017-03-01 07:41:48.819241
52,ปาริชาดคลินิกเวชกรรม,022359426,จ.กรุงเทพมหานคร อ.เขตบางรัก ต.สุริยวงศ์ หมู่ 0,คลินิกเอกชน,10500,10040300,2017-03-01 07:41:48.82801,2017-03-01 07:41:48.82801
53,โสธราเวชโพลีคลินิก,038551519,จ.ฉะเชิงเทรา อ.พนมสารคาม ต.พนมสารคาม หมู่ 1,คลินิกเอกชน,24120,24060301,2017-03-01 07:41:48.833491,2017-03-01 07:41:48.833491
54,คลินิกแพทย์สมคิด,038597655,จ.ฉะเชิงเทรา อ.สนามชัยเขต ต.คู้ยายหมี หมู่ 14,คลินิกเอกชน,24160,24080114,2017-03-01 07:41:48.837699,2017-03-01 07:41:48.837699
55,คลินิกแพทย์สุรกิจ,038462095,จ.ชลบุรี อ.พนัสนิคม ต.พนัสนิคม หมู่ 0,คลินิกเอกชน,20140,20060100,2017-03-01 07:41:48.841607,2017-03-01 07:41:48.841607
56,คลินิกโสธราเวช,037204734,จ.ปราจีนบุรี อ.กบินทร์บุรี ต.หนองกี่ หมู่ 0,คลินิกเอกชน,25110,25021100,2017-03-01 07:41:48.846782,2017-03-01 07:41:48.846782
57,ศูนย์บริการสาธารณสุขเทศบาลเมืองแสนสุข,038193580,จ.ชลบุรี อ.เมืองชลบุรี ต.แสนสุข หมู่ 0,ศูนย์สุขภาพชุมชน นอก สธ.,20130,20010400,2017-03-01 07:41:48.853984,2017-03-01 07:41:48.853984
58,ศูนย์สุขภาพชุชนบางปะกง(เขตเทศบาล),"",จ.ฉะเชิงเทรา อ.บางปะกง ต.บางปะกง หมู่ 8,ศูนย์สุขภาพชุมชน ของ รพ.,24130,24040108,2017-03-01 07:41:48.862724,2017-03-01 07:41:48.862724
59,ศูนย์สุขภาพชุมชนโรงพยาบาลดอนมดแดง,045-308053,จ.อุบลราชธานี อ.ดอนมดแดง ต.เหล่าแดง หมู่ 12,ศูนย์สุขภาพชุมชน ของ รพ.,34000,34240212,2017-03-01 07:41:48.868885,2017-03-01 07:41:48.868885
60,ศูนย์สุขภาพชุมชนโรงพยาบาลทุ่งศรีอุดม,045-307033,จ.อุบลราชธานี อ.ทุ่งศรีอุดม ต.นาเกษม หมู่ 3,ศูนย์สุขภาพชุมชน ของ รพ.,34150,34260303,2017-03-01 07:41:48.872717,2017-03-01 07:41:48.872717
61,ศูนย์สุขภาพชุชนคลินิคเวชปฏิบัติครอบครัวโรงพยาบาลหาดใหญ่,074273107,จ.สงขลา อ.หาดใหญ่ ต.หาดใหญ่ หมู่ 0,ศูนย์สุขภาพชุมชน ของ รพ.,90110,90110100,2017-03-01 07:41:48.877695,2017-03-01 07:41:48.877695
62,โรจนะพีพีเอ็มคลินิกเวชกรรม,0863213831,จ.พระนครศรีอยุธยา อ.บางปะอิน ต.สามเรือน หมู่ 0,คลินิกเอกชน,13260,14061000,2017-03-01 07:41:48.881505,2017-03-01 07:41:48.881505
63,อภิสิทธิ์การแพทย์เวชกรรมเฉพาะทาง สาขาอยุธยา,035219477,จ.พระนครศรีอยุธยา อ.พระนครศรีอยุธยา ต.หอรัตนไชย หมู่ 0,คลินิกเอกชน,13000,14010300,2017-03-01 07:41:48.890594,2017-03-01 07:41:48.890594
64,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสามขา ,042643781,จ.มุกดาหาร อ.เมืองมุกดาหาร ต.คำป่าหลาย หมู่ 2,โรงพยาบาลส่งเสริมสุขภาพตำบล,49000,49010902,2017-03-01 07:41:48.897215,2017-03-01 07:41:48.897215
65,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสานแว้  ตำบลกกตูม,"",จ.มุกดาหาร อ.ดงหลวง ต.กกตูม หมู่ 4,โรงพยาบาลส่งเสริมสุขภาพตำบล,49140,49040304,2017-03-01 07:41:48.902655,2017-03-01 07:41:48.902655
66,ศูนย์สุขภาพโรงพยาบาลสมเด็จพระปิ่นเกล้า,02 4754863 024112191,จ.กรุงเทพมหานคร อ.เขตบางกอกน้อย ต.อรุณอมรินทร์,ศูนย์สุขภาพชุมชน ของ รพ.,10700,10200900,2017-03-01 07:41:48.907578,2017-03-01 07:41:48.907578
67,ศูนย์สุขภาพชุมชนตำบลดอนมูล,0882584345,จ.แพร่ อ.สูงเม่น ต.ดอนมูล หมู่ 0,ศูนย์สุขภาพชุมชน ของ รพ.,54130,54040400,2017-03-01 07:41:48.912834,2017-03-01 07:41:48.912834
68,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอน ตำบลบางทรายน้อย,042694064,จ.มุกดาหาร อ.หว้านใหญ่ ต.บางทรายน้อย หมู่ 3,โรงพยาบาลส่งเสริมสุขภาพตำบล,49150,49060303,2017-03-01 07:41:48.917461,2017-03-01 07:41:48.917461
69,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนสวรรค์  ตำบลนากอก,0864587343,จ.มุกดาหาร อ.นิคมคำสร้อย ต.นากอก หมู่ 9,โรงพยาบาลส่งเสริมสุขภาพตำบล,49130,49020209,2017-03-01 07:41:48.92309,2017-03-01 07:41:48.92309
70,คลินิกการพยาบาลและผดุงครรภ์,0817929162,จ.ฉะเชิงเทรา อ.เมืองฉะเชิงเทรา ต.หน้าเมือง หมู่ 0,คลินิกเอกชน,24000,24010100,2017-03-01 07:41:48.928942,2017-03-01 07:41:48.928942
71,คลินิกแพทย์อรพินท์,052180122,จ.ฉะเชิงเทรา อ.บางน้ำเปรี้ยว ต.โพรงอากาศ หมู่ 5,คลินิกเอกชน,24150,24031005,2017-03-01 07:41:48.932605,2017-03-01 07:41:48.932605
72,คลินิกเวชกรรมเฉพาะทางหมอวิสิทธิ์,034325550,จ.นครปฐม อ.สามพราน ต.ไร่ขิง หมู่ 2,คลินิกเอกชน,73210,73060802,2017-03-01 07:41:48.936675,2017-03-01 07:41:48.936675
73,คลินิกพุทธมณฑลสาย4การแพทย์,024203079,จ.สมุทรสาคร อ.กระทุ่มแบน ต.อ้อมน้อย หมู่ 11,คลินิกเอกชน,74130,74020211,2017-03-01 07:41:48.942321,2017-03-01 07:41:48.942321
74,คลินิกเวชกรรมหมอชญตว์,025811385,จ.ปทุมธานี อ.เมืองปทุมธานี ต.บางปรอก หมู่ 0,คลินิกเอกชน,12000,13010100,2017-03-01 07:41:48.946375,2017-03-01 07:41:48.946375
178,ปราจีนสหคลินิก,037202449,จ.ปราจีนบุรี อ.กบินทร์บุรี ต.เมืองเก่า หมู่ 1,คลินิกเอกชน,25240,25020201,2017-03-01 07:41:49.467749,2017-03-01 07:41:49.467749
75,คลินิกหมอฤทธิเดช เวชกรรมเฉพาะทาง,038794869,จ.ชลบุรี อ.เมืองชลบุรี ต.บางทราย หมู่ 1,คลินิกเอกชน,20000,20011101,2017-03-01 07:41:48.952474,2017-03-01 07:41:48.952474
76,ขันติการแพทย์คลินิกอายุรกรรม คลินิกเวชกรรมเฉพาะทาง,025893368,จ.นนทบุรี อ.เมืองนนทบุรี ต.ท่าทราย หมู่ 0,คลินิกเอกชน,11000,12010500,2017-03-01 07:41:48.956612,2017-03-01 07:41:48.956612
77,ศูนย์บริการสาธารณสุข 2,038240440,จ.ชลบุรี อ.บางละมุง ต.บางละมุง หมู่ 8,ศูนย์สุขภาพชุมชน นอก สธ.,20150,20040108,2017-03-01 07:41:48.9608,2017-03-01 07:41:48.9608
78,พระยาสุเรนทร์เวชกรรมคลินิก,0 2919 2038,จ.กรุงเทพมหานคร อ.เขตคลองสามวา ต.บางชัน หมู่ 0,คลินิกเอกชน,10510,10460300,2017-03-01 07:41:48.966171,2017-03-01 07:41:48.966171
79,โรงพยายาบส่งเสริมสุขภาพตำบลบ้านโป่งกลางน้ำ ,"",จ.เชียงราย อ.แม่สรวย ต.วาวี หมู่ 12,โรงพยาบาลส่งเสริมสุขภาพตำบล,57180,57100612,2017-03-01 07:41:48.972524,2017-03-01 07:41:48.972524
80,ศูนย์สุขภาพชุมชนโรงพยาบาลเขาคิชฌกูฏ,039452384-5,จ.จันทบุรี อ.อำเภอเขาคิชฌกูฏ ต.พลวง หมู่ 10,ศูนย์สุขภาพชุมชน ของ รพ.,22210,22100210,2017-03-01 07:41:48.97825,2017-03-01 07:41:48.97825
81,โรงพยาบาลองค์การบริหารส่วนจังหวัดภูเก็ต,83000,จ.ภูเก็ต อ.เมืองภูเก็ต ต.ตลาดใหญ่ หมู่ 0,โรงพยาบาล นอก สธ.,20,83010100,2017-03-01 07:41:48.981556,2017-03-01 07:41:48.981556
82,ศูนย์สุขภาพชุมชนเขื่อนอุบลรัตน์,043446113,จ.ขอนแก่น อ.อุบลรัตน์ ต.เขื่อนอุบลรัตน์ หมู่ 2,ศูนย์สุขภาพชุมชน ของ รพ.,40250,40080302,2017-03-01 07:41:48.989117,2017-03-01 07:41:48.989117
83,ศูนย์บริการสาธารณสุขเทศบาลตำบลหนองอ้อ-โนนหวาย,042298506,จ.อุดรธานี อ.หนองวัวซอ ต.โนนหวาย หมู่ 2,ศูนย์บริการสาธารณสุข,41220,41030702,2017-03-01 07:41:48.995633,2017-03-01 07:41:48.995633
84,ศูนย์สุขภาพชุมชนโรงพยาบาลหนองแคสาขา 2,036380925-6,จ.สระบุรี อ.หนองแค ต.หนองแค หมู่ 0,ศูนย์สุขภาพชุมชน ของ รพ.,18140,19030100,2017-03-01 07:41:49.000333,2017-03-01 07:41:49.000333
85,ศูนย์สุขภาพชุมชนตำบลห้างฉัตร,054268685,จ.ลำปาง อ.ห้างฉัตร ต.ห้างฉัตร หมู่ 1,ศูนย์สุขภาพชุมชน ของ รพ.,52190,52120101,2017-03-01 07:41:49.004431,2017-03-01 07:41:49.004431
86,สำนักงานหลักประกันสุขภาพแห่งชาติสาขากทม.,"",จ.กรุงเทพมหานคร อ.เขตหลักสี่ ต.ทุ่งสองห้อง หมู่ 0,ศูนย์วิชาการ,10210,10410100,2017-03-01 07:41:49.008748,2017-03-01 07:41:49.008748
87,ศูนย์บริการสาธารณสุขหนองหญ้าลาด,045663209,จ.ศรีสะเกษ อ.กันทรลักษ์ ต.หนองหญ้าลาด หมู่ 2,ศูนย์บริการสาธารณสุข,33110,33041602,2017-03-01 07:41:49.012317,2017-03-01 07:41:49.012317
88,สถานพยาบาลเรือนจำจังหวัดประจวบคีรีขันธ์,"",จ.ประจวบคีรีขันธ์ อ.เมืองประจวบคีรีขันธ์ ต.ประจวบคีรีขันธ์ หมู่ 0,ศูนย์บริการสาธารณสุข,77000,77010100,2017-03-01 07:41:49.01783,2017-03-01 07:41:49.01783
89,พระราม 3 คลินิกเวชกรรม,022912143,จ.กรุงเทพมหานคร อ.เขตบางคอแหลม ต.บางคอแหลม หมู่ 0,คลินิกเอกชน,10120,10310100,2017-03-01 07:41:49.02364,2017-03-01 07:41:49.02364
90,หน่วยตรวจโรคที่ ๒ พัน.สร.๒๒บชร.๒,044958330,จ.นครราชสีมา อ.เมืองนครราชสีมา ต.หนองไผ่ล้อม หมู่ 1,ศูนย์สุขภาพชุมชน นอก สธ.,30000,30011001,2017-03-01 07:41:49.028399,2017-03-01 07:41:49.028399
91,โรงพยาบาลบุรีรัมย์,"",จ.บุรีรัมย์ อ.เมืองบุรีรัมย์ ต.ในเมือง หมู่ 5,โรงพยาบาลศูนย์,31000,31010105,2017-03-01 07:41:49.033014,2017-03-01 07:41:49.033014
92,คลินิกเวชกรรมแพทย์ศรีนครินทร์ สาขาสี่แยกศรีนุช,081 6179620  027213952,จ.กรุงเทพมหานคร อ.เขตสวนหลวง ต.สวนหลวง หมู่ 0,คลินิกเอกชน,10250,10340100,2017-03-01 07:41:49.040164,2017-03-01 07:41:49.040164
93,ศูนย์สุขภาพชุมชนตำบลสารภี,053321179,จ.เชียงใหม่ อ.สารภี ต.สารภี หมู่ 3,ศูนย์สุขภาพชุมชน ของ รพ.,50140,50190203,2017-03-01 07:41:49.046544,2017-03-01 07:41:49.046544
94,โรงพยาบาลส่งเสริมสุขภาพตำบลมีชัย,042420914,จ.หนองคาย อ.เมืองหนองคาย ต.มีชัย หมู่ 7,โรงพยาบาลส่งเสริมสุขภาพตำบล,43000,43010207,2017-03-01 07:41:49.050311,2017-03-01 07:41:49.050311
95,โรงพยาบาลโพนพิสัย,042471204,จ.หนองคาย อ.โพนพิสัย ต.จุมพล หมู่ 3,โรงพยาบาลชุมชน,43120,43050103,2017-03-01 07:41:49.054034,2017-03-01 07:41:49.054034
96,วิทยาลัยการสาธารณสุขสิรินธร จังหวัดพิษณุโลก,055311025,จ.พิษณุโลก อ.วังทอง ต.วังทอง หมู่ 8,ศูนย์วิชาการ,65000,65080108,2017-03-01 07:41:49.057689,2017-03-01 07:41:49.057689
97,สำนักงานสาธารณสุขอำเภอไพรบึง,045675078,จ.ศรีสะเกษ อ.ไพรบึง ต.ไพรบึง หมู่ 0,สำนักงานสาธารณสุขอำเภอ/กิ่งอำเภอ,33180,33060100,2017-03-01 07:41:49.062283,2017-03-01 07:41:49.062283
98,ศูนย์บริการสาธารณสุขเทศบาลเมืองหนองสำโรง แห่งที่ 1,042348466,จ.อุดรธานี อ.เมืองอุดรธานี ต.หมูม่น หมู่ 9,ศูนย์บริการสาธารณสุข,441000,41010709,2017-03-01 07:41:49.066475,2017-03-01 07:41:49.066475
99,แผนกการแพทย์ทางเลือก,044311856,จ.นครราชสีมา อ.ปากช่อง ต.ปากช่อง หมู่ 0,ศูนย์สุขภาพชุมชน ของ รพ.,30130,30210100,2017-03-01 07:41:49.071331,2017-03-01 07:41:49.071331
100,ศูนย์สุขภาพชุมชนตำบลบ้านกาด,053830450,จ.เชียงใหม่ อ.แม่วาง ต.บ้านกาด หมู่ 0,ศูนย์สุขภาพชุมชน ของ รพ.,50360,50220100,2017-03-01 07:41:49.080934,2017-03-01 07:41:49.080934
101,คลินิกเวชกรรมเฉพาะทางคริสเตียนมโนรมย์,056491005,จ.ชัยนาท อ.มโนรมย์ ต.คุ้งสำเภา หมู่ 3,คลินิกเอกชน,17110,18020103,2017-03-01 07:41:49.086554,2017-03-01 07:41:49.086554
